"store_name","total_bottles_sold"
"hy-vee #3 / bdi / des moines","2652854"
"central city 2","2621825"
"hy-vee wine and spirits / iowa city","1354343"
"wilkie liquors","998451"
"sam's club 8162 / cedar rapids","782150"
"benz distributing","780365"
"costco wholesale #788 / wdm","730655"
"lot-a-spirits","717305"
"hy-vee food store / urbandale","712652"
"sam's club 6344 / windsor heights","683041"
"hy-vee food store / coralville","666235"
"hy-vee / waukee","664071"
"i-80 liquor / council bluffs","637378"
"sam's club 8238 / davenport","603118"
"hy-vee wine & spirits #2 / davenport","594892"
"hy-vee wine and spirits / wdm","593494"
"central city liquor, inc.","575779"
"hy-vee #3 food & drugstore / davenport","567928"
"sam's club 6979 / ankeny","559948"
"sam's club 6514 / waterloo","559331"
"hy-vee wine and spirits / ankeny","549377"
"hy-vee food store #2 / state ankeny","532196"
"hy-vee  #2 / ames","530090"
"hy-vee #4 / wdm","522676"
"hy-vee wine and spirits / bettendorf","520593"
"hy-vee #7 / cedar rapids","509332"
"hy-vee food store / dubuque","505481"
"sam's club 6432 / sioux city","502615"
"hy-vee food store / fleur / dsm","497544"
"sam's club 6568 / ames","480076"
"hy-vee food store #1 / mason city","478610"
"hy-vee food store #2 / council bluffs","477177"
"hy-vee food and drug / clinton","461408"
"hy-vee food store #3 / des moines","456065"
"happy's wine & spirits","446305"
"hy-vee food store / carroll","445787"
"hy-vee food and drug / grand / wdm","445663"
"hy-vee food store / altoona","444285"
"hy-vee food store #5 / des moines","441295"
"sam's club 6472 / council bluffs","435210"
"hy-vee food store #5 / cedar rapids","433544"
"costco wholesale #1111 / coralville","426275"
"hy-vee food store #3 / cedar rapids","420076"
"hy-vee drugstore / university / dsm","417508"
"hy-vee #4 / davenport","410370"
"hy-vee food store #1 / ames","402405"
"hy-vee fort dodge wine and spirits","397403"
"hy-vee / pleasant hill","382369"
"hy-vee food store / cedar falls","378132"
"hy-vee #1044 / burlington","371928"
"hy-vee #2 / dubuque","369255"
"hy-vee food store / muscatine","364515"
"hy-vee food store / marion","353215"
"hy-vee food store #2 / waterloo","353053"
"okoboji avenue liquor","351120"
"hy-vee food store #4 / sioux city","351077"
"hy-vee food store #3 / sioux city","350952"
"hy-vee drugstore #5 / cedar rapids","349489"
"hy-vee food store #3 / waterloo","348570"
"hy-vee food store / marshalltown","341786"
"hy-vee wine & spirits #1 / mlk","339535"
"hy-vee food store #1 / council bluffs","334529"
"hy-vee food store / indianola","334030"
"sam's club 4973 / dubuque","325297"
"hy-vee food store #1 / cedar rapids","318615"
"hy-vee / waverly","317070"
"northside liquor","314719"
"hillstreet news and tobacco","313597"
"hy-vee #5 / davenport","312313"
"keokuk spirits","310533"
"hy-vee / drugtown #1 / cedar rapids","309592"
"hy-vee / windsor heights","307313"
"sycamore convenience","305547"
"charlie's wine and spirits,","304634"
"hy-vee food and drug #6 / cedar rapids","296159"
"h & a mini mart","288347"
"downtown liquor","285374"
"sam's mini mart / morningside ave sioux city","282569"
"hy-vee #2 / coralville","282215"
"hy-vee food store #1 / newton","275336"
"hy-vee wine and spirits / hubbell","268316"
"hy-vee #2 food store / mason city","266162"
"hy-vee food store / johnston","265138"
"another round / dewitt","260826"
"hy-vee food store / sioux city","256660"
"hy-vee food store / iowa city","256505"
"1st stop beverage shop","255582"
"hy-vee food store #1636 / spencer","255357"
"south side food mart","252062"
"hy-vee food store / mount pleasant","251378"
"hy-vee food store #1 / ottumwa","249863"
"sam's mini mart / sioux city","249591"
"hy-vee wine and spirits / spirit lake","244579"
"costco wholesale #1325 / davenport","240510"
"hy-vee wine & spirits / muscatine","230978"
"hy-vee food store #2 / des moines","229437"
"hy-vee food store / keokuk","228969"
"hy-vee food store #1 / wdm","224567"
"hy-vee wine and spirits / pella","224519"
"hy-vee wine and spirits / boone","221440"
"sahota food mart","221139"
"wines and spirits","220239"
"hy-vee #3 / dubuque","218385"
"hy-vee wine and spirits / algona","218308"
"gd xpress / davenport","218131"
"hy-vee # 6/ des moines","217732"
"hy-vee wine and spirits / denison","216045"
"hy-vee wine and spirits / le mars","213560"
"super saver iv","212172"
"leo1  /  cedar rapids","211572"
"marshall beer wine spirits","209394"
"ray's supermarket, inc.","208257"
"iowa street market, inc.","205787"
"hy-vee wine and spirits / waterloo","204987"
"hy-vee wine and spirits / atlantic","204854"
"mad ave quik shop","204799"
"hy-vee food store / iowa falls","202528"
"hy-vee food store #2 / iowa city","201594"
"hy-vee / charles city","198359"
"hy-vee wine and spirits / humboldt","192155"
"world liquor & tobacco","191333"
"lickety liquor","191301"
"hy-vee wine and spirits / red oak","190557"
"quick shop / clear lake","189504"
"wal-mart 3630 / marion","188680"
"lake liquors wine and spirits","188439"
"cash saver  /  e euclid ave","188295"
"downtown pantry","186725"
"hy-vee drugstore / ottumwa","186069"
"hy-vee wine and spirits / harlan","184652"
"hy-vee wine and spirits / storm lake","183887"
"urbandale liquor","183370"
"pit stop liquors / newton","183171"
"prime mart / broadway waterloo","181993"
"new star liquor / w 4th s / waterloo","180927"
"jim's foods  /  cedar rapids","180076"
"price chopper  /  ingersoll","180059"
"hy-vee food store / fairfield","179092"
"cyclone liquors","177878"
"hy-vee drugstore / mason city","177066"
"w-mart","176897"
"wal-mart 2764 / altoona","176571"
"the liquor stop llc","175429"
"logan ave convenience store / waterloo","174086"
"southside liquor & tobacco / iowa city","173831"
"wal-mart 3590 / sioux city","172188"
"hy-vee drugstore / iowa city","171431"
"hy-vee wine and spirits / shenandoah","171229"
"oasis","166457"
"john's grocery","166075"
"washington street mini mart","165437"
"sid's beverage shop","164957"
"wal-mart 0892 / ankeny","164896"
"prime mart 7 / waterloo","164788"
"new star mart  /  newton","164778"
"save more / davenport","163819"
"wal-mart 0797 / w burlington","163163"
"sa petro mart","163009"
"wal-mart 3762 / wdm","162762"
"hilltop grocery","162329"
"johncy's liquor store","161818"
"kwik stop 3 / waterloo","160469"
"u s gas","160301"
"wal-mart 0753 / cedar falls","160301"
"aj's liquor ii","160178"
"ez stop / davenport","159608"
"wal-mart 1965 / council bluffs","158183"
"ingersoll liquor and beverage","156227"
"quicker liquor store","155836"
"wal-mart 0886 / fort dodge","155766"
"hy-vee drugstore / davenport","155658"
"hy-vee food store / webster city","154457"
"hy-vee food store / chariton","153788"
"point liquor & tobacco","153785"
